V66,V20
1,399
0,3
0,4
2,299
93,2
3,0
5,1
0,14
0,0
4,0
0,17
25,0
1,0
13,3
1,0
2,0
159,144
1,3
1,0
2,1
13,0
0,16
2,0
8,12
0,24
584,8
2,3
0,10
45,0
1,6
0,17
3,1
0,0
6,333
30,0
5,0
3,0
6,12
3,35
211,0
1,2
2,63
99,1
0,50
1,0
2,25
2,2
0,0
49,357
4,0
1,5
1052,959
0,113
689,35
1,1
2,2
1,6
2,52
0,0
60,0
0,4
0,4
75,2
1,221
82,2
5,0
549,0
0,3
2,4
2,0
1,317
0,1
3,14
0,0
924,899
1,0
0,2
7,11
0,0
252,0
7,0
1,0
56,1
1,26
0,0
0,5
0,0
0,4
53,0
5,46
3,148
3,5
2,1
4,4
53,0
0,605
0,0
0,8
1,95
0,3
194,0
15,288
0,3
0,17
247,0
1,0
1,6
7,8
0,0
5,1
3,2
1,0
3,0
364,25
47,1
0,195
77,15
439,0
27,6
2,2
