V8,V97
0,1
0,331
0,2
0,16
0,0
0,0
1,0
118,2
0,0
1,1
1,1
1,1
0,0
0,0
0,16
0,153
0,74
0,1
0,0
0,2
0,8
0,0
0,5
0,1
1,2
0,173
0,0
471,0
0,187
0,0
0,1
0,0
0,2
0,5
0,0
0,0
0,79
0,1
0,211
0,0
1,0
0,725
0,25
0,0
52,0
0,0
0,45
0,48
182,0
0,60
0,2
0,1
0,2
4,0
0,0
1,0
0,2
0,23
0,1
0,3
1,65
1,0
174,2
6,6
0,0
2,0
0,0
1,18
1,3
6,4
0,0
1,342
0,0
0,22
140,0
0,0
1057,1148
21,1
0,2
11,0
0,2
0,0
0,1
0,63
98,1
0,0
1,0
2,0
0,1
0,0
13,23
42,0
0,0
0,1
0,186
1,5
0,63
0,15
616,0
0,3
41,301
0,3
1,0
0,0
30,70
11,4
0,1
0,114
1,149
0,0
0,0
0,1
0,0
0,1
0,1
0,17
0,3
0,4
89,5
0,86
