V16,V34,V3
88,45,0
0,0,64
0,1,5
181,0,3
0,0,0
32,5,3
0,71,64
4,0,35
0,0,0
2,9,2
0,2,113
1,2,132
1,1,0
10,64,56
2,2,830
0,30,0
1,84,0
1,2,248
1,0,124
2,3,8
1,0,3
3,0,0
0,4,0
27,5,3
0,2,4
7,1,5
0,240,1
0,0,0
0,0,0
198,13,4
0,4,2
83,1,0
22,0,0
83,35,0
1,3,26
85,0,0
55,0,0
34,750,0
16,517,1
5,0,6
0,4,11
165,0,1
1,31,96
0,0,5
56,3,0
0,0,1
3,0,1
0,0,0
1,0,1
0,5,1
1458,1,0
0,0,0
15,117,0
0,0,6
5,3,136
0,2,4
1,0,45
0,1,1
0,237,30
0,0,12
16,5,3
7,0,9
3,2,0
52,6,1
7,21,66
0,2,145
1,0,5
106,6,202
194,11,11
4,1,3
2,52,2
0,0,1
1,1,0
11,0,3
18,21,1213
0,9,5
1602,1580,1666
2,1,5
1,2,81
0,4,1
