V2,V100
0,0
1,0
30,6
1,54
3,0
1,3
1,17
0,0
0,10
0,8
0,49
0,100
0,1
0,0
1,295
990,0
1,2
0,3
404,0
289,11
1,105
0,2
0,13
1,3
0,7
1458,1482
4,0
0,1
0,20
0,0
0,0
18,2
2,9
4,95
35,0
3,5
150,5
5,0
0,0
0,13
0,1
0,0
2,33
5,0
0,0
48,1
0,7
2,2
3,31
11,1
7,21
384,4
0,199
4,12
2,0
0,0
1,3
127,2
114,125
27,1
1,1
0,444
12,1
0,1
0,0
0,0
0,181
0,72
1,5
2,2
0,3
13,3
0,0
11,7
0,26
0,7
2,145
1306,0
0,1
1,0
4,77
0,14
0,1
2,0
2,0
9,1
0,14
0,4
0,10
3,3
0,2
1,72
3,2
0,0
1,11
0,50
1,107
134,2
0,0
4,2
0,0
16,14
0,0
1,160
0,0
0,1
0,1
0,93
1,2
0,14
12,10
6,0
170,0
1,0
1,1
1,3
2,1
0,0
45,23
0,28
