,megahit_1884559,megahit_2440717,megahit_964462,megahit_1155943,megahit_2559955,megahit_2954026,megahit_151489,megahit_2753680,megahit_161602,megahit_3440035
megahit_1884559,0.0,0.005431607956704831,0.005621566770137032,0.00849767831750503,0.009744212731565782,0.010399119581418148,0.005318127355287472,0.009484724676816825,0.008790775551909435,0.0028976791892267872
megahit_2440717,0.005431607956704831,0.0,0.00047517315612521926,0.0006743960955428729,0.002519818181343836,0.001499138710230996,0.003143687291178865,0.0006636304370498669,0.003084216977610521,0.0012335998085790667
megahit_964462,0.005621566770137032,0.00047517315612521926,0.0,0.0006078216309796103,0.0014408682754251112,0.002802629578181448,0.003812023530576192,0.0007650212519408894,0.0026863792324333113,0.0011693995433522675
megahit_1155943,0.00849767831750503,0.0006743960955428729,0.0006078216309796103,0.0,0.0020480630612992323,0.0012241340441572213,0.005251022412148587,0.00020409394899323363,0.0025035862041159485,0.002403969446254539
megahit_2559955,0.009744212731565782,0.002519818181343836,0.0014408682754251112,0.0020480630612992323,0.0,0.004413181705903324,0.003891305556968927,0.001763512493413888,0.005044139164422701,0.004955560565014783
megahit_2954026,0.010399119581418148,0.001499138710230996,0.002802629578181448,0.0012241340441572213,0.004413181705903324,0.0,0.005414603791734418,0.0012323632963620046,0.004289988756718599,0.004721324213701306
megahit_151489,0.005318127355287472,0.003143687291178865,0.003812023530576192,0.005251022412148587,0.003891305556968927,0.005414603791734418,0.0,0.0049667570895185476,0.010486967820109494,0.005297036791495513
megahit_2753680,0.009484724676816825,0.0006636304370498669,0.0007650212519408894,0.00020409394899323363,0.001763512493413888,0.0012323632963620046,0.0049667570895185476,0.0,0.002999764915862402,0.0029424434494983442
megahit_161602,0.008790775551909435,0.003084216977610521,0.0026863792324333113,0.0025035862041159485,0.005044139164422701,0.004289988756718599,0.010486967820109494,0.002999764915862402,0.0,0.0032987283718949323
megahit_3440035,0.0028976791892267872,0.0012335998085790667,0.0011693995433522675,0.002403969446254539,0.004955560565014783,0.004721324213701306,0.005297036791495513,0.0029424434494983442,0.0032987283718949323,0.0
