,V40,V4,V43,V5,V18,V35,V50,V44,V6,V32
V40,0.0,0.0,0.20686491057841583,0.01479946844911606,0.2068649105784156,0.2838889146278637,0.2068649105784156,0.4855576386248679,0.4654671614509699,0.0
V4,0.0,0.0,0.32299679961367,0.0,0.32299679961366967,0.39831291090983545,0.32299679961366967,0.0,0.0,0.0
V43,0.20686491057841583,0.32299679961367,0.0,0.32299679961367,3.3306690738754696e-16,0.06310860462609502,3.3306690738754696e-16,0.2923032255683926,0.0,0.0
V5,0.01479946844911606,0.0,0.32299679961367,0.0,0.32299679961366967,0.39831291090983545,0.32299679961366967,0.0,0.32896236643491217,0.0
V18,0.2068649105784156,0.32299679961366967,3.3306690738754696e-16,0.32299679961366967,0.0,0.06310860462609402,0.0,0.2923032255683926,0.0,0.0
V35,0.2838889146278637,0.39831291090983545,0.06310860462609502,0.39831291090983545,0.06310860462609402,0.0,0.06310860462609402,0.3744408738510937,0.0,0.0
V50,0.2068649105784156,0.32299679961366967,3.3306690738754696e-16,0.32299679961366967,0.0,0.06310860462609402,0.0,0.2923032255683926,0.0,0.0
V44,0.4855576386248679,0.0,0.2923032255683926,0.0,0.2923032255683926,0.3744408738510937,0.2923032255683926,0.0,0.0,0.0
V6,0.4654671614509699,0.0,0.0,0.32896236643491217,0.0,0.0,0.0,0.0,0.0,0.0
V32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
