V94,V27
50,0
180,0
241,0
2,2
2,10
1,1
4,1
4,3
1,0
2,0
22,359
1,3
2,6
3,0
434,393
2,4
230,10
5,12
534,499
0,0
7,1
17,28
9,9
0,77
4,6
0,3
2,12
1,1
49,0
1,0
18,0
0,28
30,197
47,0
28,0
0,0
0,15
31,1
477,0
7,0
5,0
0,50
2,622
0,2
1,1
2,2
4,0
2,0
1,5
1102,1164
13,0
1,6
7,0
0,9
0,0
0,476
48,0
0,1
1,0
1,3
8,23
2,0
138,13
159,3
1,10
0,1
2,1
2,233
37,3
1,23
0,385
37,0
1,37
3,0
1,0
1,1
45,934
1,0
1,145
3,0
1,0
0,4
46,6
11,3
0,1
2,787
16,1
0,0
22,1
3,0
0,3
21,1
31,0
2,0
1,0
0,0
86,81
2,3
5,1
11,0
3,308
295,849
0,0
72,0
1,28
1,0
6,9
1,0
0,0
2,0
1,121
135,137
0,2
2,60
0,0
1,995
2,0
54,3
2,3
1,98
