V91,V38
9,0
0,6
0,13
1,0
5,0
2,0
3,4
0,1
4,58
1,5
1,0
0,0
50,4
1086,2
0,0
0,0
1,1
0,1
186,6
5,1
3,2
0,1
0,0
74,2
1,0
636,0
13,37
22,3
0,2
616,217
0,3
0,4
0,14
12,22
0,23
1,0
51,0
2,2
3,0
0,54
0,1
33,0
0,0
298,339
2,0
1,7
1,62
471,4
1,4
353,4
1,5
0,0
4,32
23,208
3,1
120,2
0,2
1,0
24,2
4,7
0,1
2,102
14,15
0,81
432,0
1,1
0,1
12,2
59,5
36,1
1,0
1218,484
0,2
0,147
2,0
0,1
0,0
2,1
1,0
1,4
73,0
8,1
2,805
4,1
2047,773
1,1
513,0
0,1
0,0
3,0
176,2
0,4
30,246
1,0
13,0
0,0
0,88
1,1
3,4
19,135
0,0
74,3
45,0
0,0
0,0
3,15
1,18
2,0
2,7
2,2
6,32
1,1
0,1
0,1
6,19
15,0
0,346
1,0
0,0
57,0
