V24,V20,V25,V37,V3,V9,V30
0,0,0,0,18,1,1
0,1,1,0,2,0,0
0,1,0,2,1,0,0
0,0,0,1,1,2,0
0,1,0,0,6,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,1,3,0,0,0
0,1,0,1,126,1,0
0,1,0,3,6,0,0
0,0,0,0,6,1,0
1,0,0,0,37,0,0
1,1,1,1,13,0,0
1,0,0,1,1,0,0
0,0,0,1,56,0,0
2,0,0,0,15,0,1
2,1,0,0,26,0,0
0,0,0,0,0,1,0
0,2,0,0,3,2,0
0,0,0,2,13,0,0
0,0,0,0,0,0,0
5,2,4,6,16,5,3
0,1,0,0,51,0,1
3,1,2,2,165,1,1
0,5,0,0,14,1,2
0,0,0,0,1,0,0
0,1,0,1,4,0,0
0,3,2,1,13,3,0
0,0,1,0,146,0,0
2,0,0,1,57,1,0
0,2,1,0,51,1,1
3,1,1,2,7,1,2
0,0,0,1,3,0,1
0,0,0,0,0,0,0
0,2,3,1,62,1,3
1,1,1,0,0,2,0
3,0,0,3,902,6,3
0,0,0,0,32,1,1
1,2,1,3,1,3,4
0,0,1,0,12,0,0
0,0,1,1,61,0,0
0,0,0,0,12,3,1
0,2,0,1,7,0,0
0,0,0,0,7,0,2
2,1,0,0,11,0,0
0,0,0,0,34,1,1
0,0,0,1,0,0,0
1,5,0,2,4,4,2
1,0,0,2,0,1,0
1,1,0,0,14,0,0
3,2,2,0,184,0,1
0,1,1,0,0,0,0
0,1,0,1,3,2,0
1,3,3,2,369,4,1
1,0,1,0,0,0,0
27,18,14,17,2332,17,19
1,0,1,0,1,0,0
0,0,2,1,4,0,0
1,1,0,0,20,0,0
0,0,1,1,74,0,0
1,1,0,0,6,1,2
0,1,2,0,7,0,0
1,0,2,1,2,2,2
0,0,1,0,2,0,0
8,11,5,7,12,10,8
0,0,0,0,5,0,0
2,1,2,2,255,1,3
0,1,1,1,0,1,0
2,1,1,2,159,2,2
0,0,1,1,16,2,2
0,2,4,1,16,0,1
0,0,3,0,16,1,1
0,0,0,0,344,0,0
0,0,0,0,62,0,0
0,0,0,3,294,1,0
1,1,0,0,0,0,0
0,0,3,1,11,2,0
1,0,2,0,34,1,1
0,0,0,1,12,0,0
2,0,0,1,44,0,3
