,V12,V41,V3,V16,V2,V39,V35,V17,V50,V43
V12,0.0,0.3453463292920229,0.3472246969618282,0.20667881340216965,0.34876663815617004,0.3453463292920228,0.3346422740576078,0.3428794470821517,0.0,0.0
V41,0.3453463292920229,0.0,0.00010328800165260166,0.03998823520432315,0.0,0.0,0.0,0.0,0.3453463292920228,0.46515549490040975
V3,0.3472246969618282,0.00010328800165260166,0.0,0.041219185649164936,0.0,0.0,0.0,0.0,0.3472246969618281,0.46723567506050523
V16,0.20667881340216965,0.03998823520432315,0.041219185649164936,0.0,0.0,0.0,0.0,0.0,0.4310524823389298,0.0
V2,0.34876663815617004,0.0,0.0,0.0,0.0,0.00032423670130898863,0.001728861991981967,0.0003434438073419699,0.0,0.0
V39,0.3453463292920228,0.0,0.0,0.0,0.00032423670130898863,0.0,0.0011161077087197269,5.339935867487711e-06,0.0,0.0
V35,0.3346422740576078,0.0,0.0,0.0,0.001728861991981967,0.0011161077087197269,0.0,0.001072007546279563,0.0,0.0
V17,0.3428794470821517,0.0,0.0,0.0,0.0003434438073419699,5.339935867487711e-06,0.001072007546279563,0.0,0.0,0.0
V50,0.0,0.3453463292920228,0.3472246969618281,0.4310524823389298,0.0,0.0,0.0,0.0,0.0,0.0
V43,0.0,0.46515549490040975,0.46723567506050523,0.0,0.0,0.0,0.0,0.0,0.0,0.0
