V13,V82
11,465
9,2
63,3
1,0
1,3
1,5
0,0
15,334
0,0
2,0
0,0
0,0
0,6
0,1
13,14
1,0
31,0
0,19
1,5
0,0
462,0
2,1
0,6
8,0
0,0
3,0
0,190
25,0
0,0
180,183
2,52
2,6
0,46
0,232
4,4
51,0
0,2
0,0
1,0
0,6
2,99
1,0
0,0
0,3
1,3
0,0
0,0
5,1
0,17
1,0
45,0
4,0
0,0
262,6
209,0
22,0
0,0
0,1
83,12
0,0
1,1
2,54
1,3
0,0
7,0
18,4
2,0
2,1
0,2
0,0
79,0
0,10
0,0
0,1
1,0
3,0
33,820
2,8
1,0
5,1
105,40
0,32
2,2
0,1
4,2
0,1
0,0
0,228
12,1365
0,5
0,6
45,1
1371,1392
10,0
0,0
15,0
2,2
1,0
0,27
1,82
0,0
0,238
1,1
41,3
0,0
0,0
0,0
0,53
0,2
1,0
19,0
0,2
2,7
1,0
1,2
1,2
0,0
1,5
0,49
1,814
