,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0,0,0,0,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0,0,0
2,0,0,0,0,0,0,1,0,0,0
3,0,0,0,1,1,0,0,0,0,0
4,0,0,0,0,1,0,0,0,0,0
5,0,0,0,0,1,0,0,0,0,0
6,0,1,0,0,1,0,0,0,0,0
7,0,0,0,0,0,0,1,0,0,0
8,1,0,0,1,1,0,0,0,0,0
9,1,0,0,1,1,0,0,0,1,0
10,0,0,0,0,1,0,0,0,0,1
11,0,0,0,0,1,0,0,0,0,0
12,1,1,1,1,1,1,1,1,1,1
13,0,0,0,0,0,0,1,0,0,0
14,0,0,0,0,1,0,0,0,1,0
15,0,0,0,0,1,0,0,0,0,0
16,0,0,1,0,1,1,1,0,1,0
17,0,0,0,0,0,0,0,0,1,1
18,0,0,0,0,0,0,0,0,0,1
19,0,0,0,0,0,0,1,0,0,0
20,1,0,0,1,0,0,0,0,1,0
21,1,0,0,1,0,0,1,0,1,1
22,1,1,1,1,1,1,1,1,1,1
23,0,0,0,0,0,0,1,0,0,0
24,0,0,0,1,0,0,0,1,0,0
25,1,0,0,1,1,0,0,0,1,0
26,0,0,0,0,1,0,0,0,0,0
27,1,1,1,1,1,1,0,1,1,1
28,0,0,0,0,1,0,0,0,0,0
29,0,1,0,0,0,0,0,0,0,0
