,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0,0,0,0,0,0,0,1,0,1,0
1,0,0,0,0,0,0,1,0,0,0
2,1,1,1,1,1,1,1,0,0,1
3,0,1,0,0,0,0,0,0,0,0
4,0,0,1,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,1
6,0,1,0,0,0,0,0,0,0,0
7,0,0,0,0,0,1,0,0,0,0
8,0,0,0,0,0,1,0,0,0,0
9,0,1,0,0,0,0,0,0,0,0
10,0,1,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,1,0,0,0
12,0,0,0,1,0,0,0,0,0,0
13,0,0,0,0,0,0,0,1,1,0
14,0,0,0,0,0,0,1,0,0,0
15,0,0,0,0,0,1,0,0,0,0
16,0,0,0,0,0,0,0,0,0,1
17,0,1,1,0,0,0,0,0,0,0
18,0,1,0,0,1,1,0,0,0,1
19,0,0,1,0,1,1,1,0,0,1
20,0,1,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,1,0,0,0
22,0,1,0,0,0,0,0,0,0,0
23,0,0,0,0,0,1,0,0,0,0
24,0,1,0,0,0,0,1,0,1,0
25,0,1,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,1
27,0,0,0,0,1,0,1,1,0,0
28,1,1,0,0,0,1,1,0,0,1
29,1,1,1,0,1,0,1,0,0,1
