,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0,1,1,0,1,1,0,0,0,0,1
1,0,0,0,0,0,1,0,0,0,0
2,0,0,0,0,0,0,0,1,1,0
3,1,1,0,0,1,0,1,1,1,0
4,1,1,0,1,1,1,1,1,0,1
5,1,0,0,0,0,0,0,0,0,0
6,0,1,0,0,0,0,0,0,1,0
7,1,1,0,1,0,1,1,0,0,1
8,0,1,0,0,0,0,0,0,0,0
9,0,0,1,0,0,0,0,0,0,0
10,0,0,0,1,0,1,1,0,0,0
11,0,0,0,0,0,0,0,0,1,0
12,0,0,0,0,0,0,1,0,0,0
13,0,0,1,0,0,0,0,0,0,1
14,1,0,0,0,0,0,0,0,0,0
15,1,0,0,0,1,0,0,0,0,0
16,0,0,0,0,0,0,0,0,1,0
17,1,1,1,1,1,1,1,1,1,1
18,0,0,0,0,0,0,0,0,1,0
19,0,0,0,0,0,0,0,0,0,1
20,0,1,1,0,0,1,0,0,1,0
21,1,1,1,1,1,1,1,0,1,1
22,0,0,0,0,0,0,0,0,1,0
23,1,1,1,1,1,1,1,1,1,1
24,0,0,0,1,0,0,0,0,1,0
25,0,1,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,1
27,1,1,1,1,1,1,1,1,1,1
28,1,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,1,0
