,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0,1,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1
2,0,0,0,0,0,0,0,1,0,0
3,1,0,1,1,1,1,1,1,1,1
4,0,0,0,0,0,0,0,1,0,0
5,1,0,0,0,0,0,0,0,0,0
6,0,0,0,0,1,0,0,0,1,0
7,0,0,0,0,0,0,0,1,0,0
8,0,0,0,0,0,0,0,1,0,0
9,0,0,1,0,0,0,0,0,0,0
10,1,1,0,1,1,0,0,1,0,1
11,0,0,0,0,0,0,0,1,0,0
12,1,0,1,1,1,1,1,1,1,1
13,0,1,0,1,0,0,0,1,1,0
14,1,1,1,1,1,0,1,1,1,1
15,0,0,0,1,0,0,0,0,0,0
16,1,1,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,0,1,1,1
18,0,0,0,0,0,0,0,1,0,0
19,0,0,0,0,0,0,0,0,0,1
20,0,0,0,1,1,0,0,0,0,1
21,0,1,0,1,0,1,0,1,0,0
22,1,1,0,1,1,0,1,1,0,1
23,1,1,1,1,1,1,1,1,1,1
24,1,1,1,1,1,1,1,1,1,1
25,0,0,0,0,0,0,0,1,0,0
26,0,0,0,0,0,0,0,1,0,0
27,0,0,0,0,0,0,0,1,0,0
28,0,0,0,0,0,0,0,1,0,0
29,0,0,0,0,0,0,0,1,0,0
