,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0
2,0,0,0,0,1,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,1
4,0,0,1,0,1,0,0,0,0,0
5,0,0,0,0,1,0,0,0,0,0
6,1,0,0,0,0,0,0,0,0,0
7,1,1,0,1,1,1,1,1,0,0
8,1,0,0,0,0,0,0,0,0,0
9,0,0,0,0,1,0,0,0,0,0
10,0,0,0,0,1,0,0,0,0,0
11,0,0,1,0,1,1,0,0,0,0
12,1,0,1,0,0,0,0,1,1,1
13,1,0,0,0,0,0,0,0,0,0
14,0,1,0,0,1,0,0,0,0,0
15,0,0,1,0,0,0,0,0,0,0
16,0,0,1,0,0,0,0,0,0,0
17,0,0,0,0,1,0,0,0,0,0
18,0,0,1,0,0,0,0,1,1,0
19,0,0,0,1,0,0,0,0,0,0
20,0,1,1,0,1,1,1,1,0,0
21,0,0,1,0,0,0,0,0,0,0
22,1,0,0,0,1,0,0,0,0,0
23,0,0,0,0,0,0,0,1,0,0
24,0,0,0,0,0,0,1,1,0,0
25,0,0,0,1,0,0,0,0,0,0
26,1,0,1,0,0,0,0,0,0,0
27,0,0,1,0,0,0,0,0,0,0
28,0,1,1,0,0,1,0,0,0,1
29,0,0,0,0,0,0,0,0,0,1
