,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0,0,1,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0,1,0,0
2,1,0,0,0,0,0,0,0,0,0
3,1,0,1,1,0,1,1,1,1,0
4,0,0,0,0,1,0,0,0,0,0
5,1,0,0,0,0,1,0,0,0,0
6,0,0,1,1,0,1,0,0,0,0
7,0,0,0,1,0,0,0,0,0,1
8,0,0,1,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,1,0,0
10,0,0,1,1,0,1,0,0,0,1
11,1,1,1,1,0,1,1,1,1,1
12,0,0,0,0,0,0,0,0,1,0
13,0,0,0,1,0,0,0,0,0,1
14,0,0,0,1,0,0,0,0,0,1
15,0,0,1,1,0,0,0,0,0,1
16,0,0,1,0,0,0,0,0,0,0
17,0,0,0,1,0,0,0,0,0,1
18,0,0,0,0,1,0,0,1,0,0
19,1,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,1
21,1,0,0,0,1,0,0,1,0,0
22,0,1,1,1,0,1,0,1,1,1
23,1,1,1,1,1,1,0,1,1,1
24,0,0,0,0,0,0,0,0,0,1
25,1,0,0,0,0,1,1,1,0,0
26,1,0,0,0,1,0,0,1,0,0
27,1,1,1,1,1,1,0,1,1,1
28,0,0,0,0,1,0,0,0,0,0
29,0,0,1,0,0,0,0,0,0,0
