,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0,1,0,0,1,1,0,0,0,0,0
1,1,1,0,1,1,1,1,1,1,1
2,0,0,0,0,0,0,0,1,1,0
3,0,0,0,0,1,0,0,0,0,0
4,0,0,0,0,0,0,1,0,0,0
5,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1
7,1,1,0,1,0,0,1,1,1,0
8,1,0,1,1,1,0,1,1,1,1
9,1,0,0,0,1,0,0,0,1,0
10,1,0,0,0,1,0,0,1,1,0
11,0,0,0,0,0,0,1,0,0,0
12,1,0,1,1,1,1,1,1,1,1
13,1,1,0,0,1,0,1,0,0,1
14,1,1,1,1,1,1,1,1,1,1
15,0,0,0,0,0,0,0,0,1,0
16,1,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,1,0
18,0,1,1,1,1,1,1,1,1,1
19,1,1,1,1,1,1,1,1,1,1
20,0,0,0,0,0,0,0,1,1,0
21,1,1,1,1,1,0,0,0,1,0
22,0,0,0,0,0,0,0,0,1,0
23,0,0,1,0,0,0,0,1,0,0
24,1,0,0,0,0,0,1,1,1,1
25,1,0,1,1,1,1,1,1,1,1
26,0,0,1,0,0,0,0,0,0,0
27,0,1,1,0,1,1,1,0,1,1
28,0,0,0,0,0,0,1,0,0,0
29,1,0,0,1,1,0,1,0,0,0
