,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,1,0,0,0,1,0,1
2,0,0,0,0,0,0,0,0,0,1
3,1,0,0,1,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,1
5,1,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,1,0,0,0,0
7,0,0,1,0,0,1,1,1,1,1
8,1,0,1,1,1,1,0,1,0,1
9,1,0,1,0,0,0,0,0,0,1
10,0,0,0,0,0,0,0,0,0,1
11,1,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,1
13,0,0,0,0,0,0,0,0,0,1
14,0,0,0,0,0,0,1,0,0,0
15,0,0,0,0,0,1,0,0,0,0
16,0,0,0,0,0,0,1,0,0,0
17,1,1,0,0,1,0,0,1,0,1
18,0,0,0,0,0,1,0,0,0,0
19,1,1,1,1,0,0,1,1,1,0
20,0,0,0,0,0,0,1,0,0,0
21,1,1,1,1,1,1,1,1,1,1
22,0,0,0,1,0,0,0,0,0,0
23,1,1,1,1,1,1,1,1,1,1
24,1,1,1,1,1,1,1,1,1,1
25,0,0,0,0,0,1,0,0,0,0
26,0,0,0,1,0,0,0,0,0,0
27,0,0,0,0,0,1,0,0,0,0
28,1,1,0,1,1,1,0,1,1,1
29,1,0,1,1,1,0,0,0,0,1
