,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0,0,0,0,0,1,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0
2,1,0,0,0,1,0,1,0,0,0
3,0,0,0,0,0,0,0,0,0,1
4,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,1
6,1,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,1,1,0,0,1
8,1,1,0,0,0,0,0,1,1,1
9,0,1,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,1
11,0,0,0,0,0,0,1,0,1,0
12,1,0,0,0,0,0,0,0,0,0
13,1,1,1,1,1,1,1,1,1,1
14,0,0,0,1,0,0,0,0,0,0
15,1,1,1,1,1,1,1,1,1,1
16,0,0,0,0,0,0,0,0,0,1
17,0,0,0,0,0,0,0,0,0,1
18,0,0,0,0,0,0,0,0,0,1
19,0,0,1,1,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,1
21,1,0,0,0,0,1,0,0,0,1
22,0,0,0,0,0,0,0,0,0,1
23,0,0,0,0,0,0,0,0,0,1
24,0,1,0,1,1,1,1,1,1,1
25,1,1,1,0,1,1,1,1,1,1
26,1,0,0,0,0,0,0,0,0,0
27,0,1,1,0,1,1,1,1,1,1
28,0,0,0,0,0,0,0,0,1,1
29,0,0,0,0,0,1,0,0,0,0
