"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0,0,0,0,2000,0,0,0,0,0
2000,0,0,0,0,0,0,0,0,0
0,1464,0,0,1,0,0,0,0,535
0,1995,2,0,0,1,0,1,0,1
0,2000,0,0,0,0,0,0,0,0
0,1967,0,33,0,0,0,0,0,0
1906,0,0,0,3,0,0,0,0,91
0,562,0,0,1438,0,0,0,0,0
0,1982,0,0,18,0,0,0,0,0
0,2000,0,0,0,0,0,0,0,0
0,0,2000,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2000,0,0
0,0,0,0,0,0,0,0,0,2000
1882,2,0,102,1,0,4,3,0,6
0,0,0,0,0,2000,0,0,0,0
0,1906,0,0,0,0,0,0,94,0
0,2000,0,0,0,0,0,0,0,0
0,0,2000,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2000,0,0
0,0,0,0,0,0,0,0,0,2000
0,2000,0,0,0,0,0,0,0,0
1,21,8,1712,18,0,0,0,0,240
0,1972,28,0,0,0,0,0,0,0
0,0,2000,0,0,0,0,0,0,0
0,1,0,0,1994,0,0,5,0,0
0,0,0,968,0,0,47,0,0,985
0,1997,0,0,0,0,3,0,0,0
0,1948,0,0,0,8,0,44,0,0
0,1992,0,0,6,1,0,1,0,0
0,1947,42,0,0,0,0,11,0,0
