,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0,0,0,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0,1,0,0
2,0,0,1,0,1,0,0,1,0,1
3,0,0,1,1,0,1,1,0,1,0
4,0,0,0,0,0,0,0,0,0,1
5,0,0,0,0,0,0,1,0,0,0
6,0,0,0,0,0,0,1,0,0,0
7,0,0,1,0,0,0,0,0,1,1
8,0,0,0,0,0,0,0,1,0,0
9,0,0,0,0,0,0,1,0,0,0
10,1,1,0,0,0,0,0,0,0,1
11,0,0,0,0,0,0,1,0,0,0
12,0,0,0,0,0,0,0,1,0,0
13,0,0,0,0,0,0,0,1,0,0
14,0,0,0,0,1,0,0,0,0,1
15,0,1,0,0,1,0,1,1,1,1
16,0,0,0,0,0,0,0,1,0,0
17,0,0,1,0,1,0,0,1,0,1
18,0,0,0,0,0,0,1,0,0,0
19,0,0,0,1,0,0,0,0,0,0
20,0,0,0,0,0,0,0,1,0,0
21,0,0,0,0,0,0,0,0,0,1
22,0,1,0,0,0,1,0,1,0,1
23,0,0,0,0,1,0,0,1,0,0
24,0,0,1,0,0,0,0,1,0,1
25,0,0,0,0,0,0,0,0,0,1
26,0,0,0,0,0,0,0,0,0,1
27,0,0,0,0,0,1,1,0,0,0
28,0,0,0,1,0,0,0,0,0,0
29,0,0,0,0,0,0,0,1,0,0
