,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0,0,0,1,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0
2,1,1,1,1,1,1,1,1,1,1
3,0,0,0,0,0,1,1,0,0,0
4,1,1,1,1,1,1,1,1,1,1
5,0,1,0,0,0,0,0,1,0,1
6,1,0,1,1,0,0,1,0,1,0
7,1,1,1,1,1,1,1,1,1,1
8,0,0,1,0,0,0,0,0,0,0
9,1,1,1,1,1,1,1,1,1,1
10,0,0,1,1,0,0,0,1,1,0
11,1,1,1,1,1,1,1,0,1,1
12,0,1,0,0,0,0,0,0,0,0
13,0,0,0,0,0,1,0,1,0,1
14,0,0,1,0,0,0,0,1,0,0
15,0,0,1,0,0,0,1,0,1,1
16,0,0,0,0,0,0,0,1,0,0
17,1,0,1,1,1,1,1,1,1,1
18,0,0,0,0,0,0,0,1,0,0
19,1,0,1,0,0,0,1,0,0,0
20,1,1,1,1,1,1,1,1,1,1
21,0,1,0,0,0,1,0,1,0,0
22,0,0,1,1,0,0,0,0,0,0
23,0,1,0,1,0,1,1,0,1,1
24,0,0,0,1,0,0,0,0,0,0
25,0,0,0,0,0,1,0,0,0,0
26,1,1,1,1,1,1,1,1,1,1
27,0,0,0,0,0,0,0,0,1,0
28,1,1,1,1,1,1,1,1,1,1
29,1,1,1,1,1,1,1,1,1,1
