,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0,0,0,1,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0
2,1,0,0,1,0,0,1,1,1,1
3,0,0,0,0,0,0,0,0,1,0
4,0,0,0,0,0,0,0,0,0,1
5,0,1,1,0,1,1,0,0,1,1
6,0,1,0,0,1,1,0,0,1,1
7,0,0,0,0,1,0,0,0,0,0
8,1,1,1,1,0,1,1,1,1,1
9,0,0,0,0,1,0,0,0,0,1
10,0,0,0,0,0,0,0,0,0,1
11,0,0,0,0,0,1,0,0,0,0
12,1,1,1,1,1,1,1,1,1,1
13,0,0,1,0,0,0,0,0,0,0
14,0,1,0,1,1,1,1,1,1,1
15,0,0,0,0,0,0,0,0,0,1
16,1,1,1,1,1,1,1,1,1,1
17,0,0,0,0,0,0,0,0,1,0
18,0,1,1,0,1,0,0,0,1,0
19,1,0,0,0,0,0,0,0,1,0
20,1,0,0,0,0,0,0,0,0,0
21,0,1,0,0,0,0,0,0,0,0
22,0,0,0,0,1,0,0,0,0,0
23,0,0,0,0,0,0,0,0,1,0
24,0,0,0,0,0,0,0,0,0,1
25,0,0,1,0,0,0,0,0,0,0
26,0,0,0,0,1,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,1
28,0,0,0,0,0,0,0,0,0,1
29,0,0,0,0,0,0,0,0,0,1
