,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0,0,0,0,0,1,1,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0
2,0,0,0,1,0,1,0,0,1,0
3,0,0,0,1,0,0,0,0,0,0
4,1,1,1,1,1,1,1,1,1,1
5,0,0,0,0,0,1,0,0,0,0
6,0,0,0,0,0,1,0,0,0,0
7,1,0,1,1,1,1,1,1,1,1
8,0,1,0,0,0,0,1,0,0,0
9,1,0,1,1,1,0,1,1,1,0
10,0,0,0,0,0,1,0,0,0,0
11,1,1,1,1,1,1,1,1,1,1
12,1,0,0,0,0,0,1,0,0,0
13,0,0,0,0,0,0,0,0,1,0
14,0,0,0,0,0,0,0,0,1,0
15,0,0,1,0,1,0,0,0,0,0
16,0,0,0,0,0,0,0,0,1,0
17,1,1,1,0,1,0,1,0,1,1
18,0,0,0,0,0,0,0,0,1,0
19,1,1,1,1,1,1,1,1,1,1
20,0,0,1,1,1,1,0,1,1,0
21,1,0,0,1,0,0,1,0,0,0
22,1,0,1,0,1,1,0,0,1,0
23,0,0,0,0,0,0,0,0,1,0
24,1,0,0,0,0,0,0,0,0,0
25,0,1,0,1,0,1,1,1,1,1
26,0,0,0,0,0,0,0,0,1,0
27,0,0,0,0,0,1,0,0,0,0
28,0,0,0,0,0,1,0,0,0,0
29,1,1,1,1,1,1,0,1,1,1
