,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1
3,0,0,0,1,0,0,0,0,0,0
4,1,1,1,1,1,1,1,1,1,1
5,0,0,0,0,0,1,0,0,0,0
6,1,1,1,1,1,1,1,1,1,1
7,1,0,1,1,1,0,1,1,0,1
8,0,1,0,0,1,0,0,0,0,1
9,1,1,1,1,1,1,1,1,0,1
10,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1
12,0,1,0,0,0,0,0,0,0,0
13,0,0,0,1,0,0,0,0,0,0
14,1,1,1,1,1,1,1,1,0,1
15,1,1,1,1,1,1,1,1,1,1
16,1,1,1,1,1,0,1,1,0,1
17,1,0,0,0,0,0,0,0,0,0
18,0,1,1,0,1,1,0,0,1,0
19,1,1,1,1,1,1,1,1,1,1
20,1,1,1,1,1,1,1,1,1,1
21,0,0,0,0,0,0,1,0,0,0
22,1,1,0,0,0,0,0,1,0,0
23,1,1,1,1,1,1,1,1,1,1
24,0,0,0,0,0,1,0,0,0,1
25,1,1,1,1,1,1,1,1,1,1
26,0,0,0,1,0,1,0,0,0,1
27,0,0,0,1,0,1,1,0,0,0
28,0,1,0,1,0,0,1,0,0,0
29,0,1,0,0,0,0,0,0,0,0
