,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0,0,0,0,1,1,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1,1,1
4,1,1,0,1,1,0,0,1,0,1
5,0,1,1,1,1,1,1,1,1,1
6,1,1,0,1,0,1,1,1,0,1
7,0,1,0,0,0,0,0,0,0,0
8,1,1,1,1,1,1,1,1,1,1
9,0,1,0,0,0,0,0,0,0,0
10,0,1,0,1,0,0,0,0,0,0
11,0,1,0,0,0,0,0,0,0,0
12,0,0,1,0,1,0,0,1,0,1
13,0,1,1,0,0,0,0,1,0,0
14,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1
16,1,1,1,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1,1,1,1
18,0,0,0,0,0,0,0,1,0,1
19,1,1,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,1,0,0
21,1,1,1,1,1,1,1,1,1,1
22,0,0,0,1,0,0,1,0,0,0
23,1,1,1,1,1,1,1,1,1,1
24,0,0,0,1,0,0,0,1,0,1
25,0,1,0,0,0,0,1,0,0,0
26,1,1,1,1,0,1,1,1,1,1
27,0,1,0,0,0,0,0,0,0,1
28,1,1,1,1,1,1,1,1,1,1
29,0,1,0,1,0,0,0,0,0,0
