,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0,0,1,0,0,0,0,0,0,0,0
1,0,1,1,0,1,1,0,1,1,0
2,0,1,0,0,0,0,0,0,0,0
3,1,1,1,0,0,1,0,0,1,0
4,0,1,0,0,0,0,0,0,0,0
5,1,1,1,1,1,1,1,1,1,1
6,0,1,0,0,0,0,0,0,0,0
7,0,1,0,0,0,1,0,0,0,0
8,0,1,0,0,0,0,0,0,1,0
9,0,1,0,0,0,0,0,0,0,0
10,0,1,0,0,0,0,0,0,0,0
11,0,1,0,0,0,0,0,0,0,0
12,0,1,0,0,0,0,0,0,0,0
13,0,1,0,0,0,0,0,0,0,0
14,0,0,1,0,0,0,0,0,0,0
15,0,1,0,0,0,0,0,0,0,0
16,0,1,0,0,0,0,0,0,0,0
17,0,0,0,1,0,0,0,0,0,0
18,0,1,0,0,0,0,0,0,0,0
19,0,1,0,0,0,1,0,0,0,0
20,0,1,1,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,1
22,0,0,0,0,0,0,0,0,0,1
23,1,0,0,0,0,0,0,0,0,0
24,0,1,0,0,0,0,0,0,0,0
25,0,0,1,0,0,0,0,0,0,0
26,1,0,0,0,0,0,0,0,0,0
27,0,1,0,0,0,0,0,0,0,0
28,0,0,1,0,0,0,0,0,0,0
29,0,1,0,0,1,0,1,0,1,0
