,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,1,0,0
2,1,0,1,0,0,0,0,0,0,0
3,0,1,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,1,0
5,1,0,0,0,0,0,0,0,0,0
6,0,0,1,0,0,0,0,0,0,0
7,1,0,0,1,0,0,0,0,1,1
8,0,0,1,0,0,0,0,0,0,0
9,0,1,0,0,0,0,0,0,0,0
10,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,0,1,1,1,1
12,1,1,1,1,1,1,0,1,1,1
13,1,0,0,0,0,0,0,0,0,0
14,0,0,1,0,0,0,0,0,0,0
15,0,1,1,1,1,0,1,0,1,1
16,1,0,0,0,0,0,0,0,1,0
17,1,0,1,0,0,0,1,0,0,0
18,1,1,1,1,0,0,1,1,0,1
19,0,0,0,0,0,0,0,0,1,0
20,0,0,1,0,0,0,0,0,0,0
21,0,1,0,0,0,0,0,0,0,0
22,0,0,1,0,0,0,0,0,0,0
23,0,0,1,0,0,0,0,0,0,0
24,0,0,1,0,0,0,0,0,0,1
25,0,1,0,0,0,0,0,0,0,0
26,0,1,0,0,0,0,0,0,0,0
27,1,0,0,0,0,0,0,0,0,0
28,1,0,1,1,0,1,1,1,0,0
29,0,0,0,0,0,0,0,0,1,0
