,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0,0,1,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1
2,0,0,0,0,0,0,0,0,1,0
3,0,0,0,0,0,0,1,0,0,0
4,0,1,1,0,1,0,0,0,1,0
5,1,0,1,1,0,0,1,0,0,1
6,1,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,1,0,0,0,0
8,0,0,0,1,0,0,1,0,0,0
9,1,1,1,0,0,1,1,0,0,1
10,0,0,0,1,0,0,0,0,0,0
11,0,0,0,0,0,0,1,0,0,0
12,0,0,0,0,0,0,1,0,0,0
13,0,1,0,0,0,0,0,0,0,0
14,1,0,0,0,0,0,1,1,1,0
15,1,1,1,1,1,1,1,1,1,1
16,0,0,0,1,0,0,1,0,0,0
17,1,1,1,1,1,1,1,1,1,1
18,0,0,0,0,0,0,1,0,0,0
19,0,0,0,0,0,0,0,0,1,0
20,1,1,1,1,0,1,1,0,1,1
21,0,0,1,1,0,0,1,0,0,0
22,1,1,1,1,1,1,1,1,1,1
23,0,0,0,0,0,0,1,0,0,0
24,1,1,1,1,1,1,1,1,1,1
25,1,1,1,1,1,1,1,1,1,1
26,1,1,1,1,1,1,1,1,1,1
27,1,1,1,0,0,1,1,0,0,1
28,1,1,1,0,1,1,1,0,1,1
29,0,0,1,1,0,0,0,0,1,0
