V6,V28
18,2
5,1
166,1
0,0
1,3
0,0
6,1
5,0
2,1
2,0
0,0
3,1
10,3
0,0
7,0
1,0
20,21
8,1
0,0
126,9
0,4
1,82
51,19
0,0
1,0
1,1
0,155
1,2
1,1
1,5
0,13
0,45
1,0
987,22
0,1
0,13
48,4
58,20
0,0
188,7
15,1
2,0
2,0
1,0
7,0
1,66
8,177
0,0
0,10
0,1
17,311
1,0
801,5
0,21
2,0
112,45
1,1
50,0
111,0
0,0
1389,1443
26,11
0,1
20,0
2,18
9,0
1,0
4,0
5,2
1,0
233,7
1,4
1,0
16,41
0,0
0,3
0,5
0,2
0,0
3,1
0,147
9,1
0,5
25,0
3,658
1,1
0,1
0,3
0,0
0,0
362,0
0,6
0,0
11,19
1,1
0,21
1,1
3,0
0,0
12,0
1,1
0,6
89,1
1,0
160,18
0,111
3,2
0,1
168,2
11,12
1,0
16,116
0,165
1,3
1,1
0,0
11,29
46,3
2,3
0,0
