"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
1.23792793190471,0.477076641535018,-0.0487573366180725,0,-0.0786448099190383,-0.0459611511448402,-0.114412683722801,0,-0.0356032398864679,-0.0384708827213043
0.477076641535018,1.52660830330431,0.034454106394141,-0.0251727963543648,0.327685918909446,0.114556750730629,0.00883533267554812,0.227660802986659,0.495757218891174,0
-0.0487573366180725,0.034454106394141,1.00575395384696,0,0,0,0,0.0389170141803843,0,0
0,-0.0251727963543648,0,1.0303753002371,0,0,-0.00357858323376164,0,0.0317779784415849,0.166539438007873
-0.0786448099190383,0.327685918909446,0,0,1.17564005214213,0,-0.0657160932772591,-0.146864009528716,0.121743238591248,-0.135481661882504
-0.0459611511448402,0.114556750730629,0,0,0,1.08934969939557,-0.0374524680799829,0,-0.247030146051078,0
-0.114412683722801,0.00883533267554812,0,-0.00357858323376164,-0.0657160932772591,-0.0374524680799829,1.21502443383007,-0.090420248011776,0.453339068173747,0.167718041136181
0,0.227660802986659,0.0389170141803843,0,-0.146864009528716,0,-0.090420248011776,1.16682896416184,0.301236130603324,-0.137574064752754
-0.0356032398864679,0.495757218891174,0,0.0317779784415849,0.121743238591248,-0.247030146051078,0.453339068173747,0.301236130603324,1.48127555515468,0
-0.0384708827213043,0,0,0.166539438007873,-0.135481661882504,0,0.167718041136181,-0.137574064752754,0,1.09006287156272
