V12,V4
0,45
1,0
0,4
656,671
0,3
0,3
17,11
2,182
3,0
3,68
0,24
1,0
33,7
23,22
2,1
0,1
4,2
0,88
8,0
1,1
2,115
455,52
0,0
1,0
0,6
0,2
0,0
0,0
1,25
2,0
0,8
1,0
0,0
0,0
0,0
0,0
173,173
23,0
0,2
4,0
109,37
0,2
518,0
0,1
0,0
0,1
5,28
0,0
1,3
77,26
0,4
333,1
79,1
0,26
0,2
2,531
0,0
0,0
1,0
153,0
0,2
12,1
0,7
0,1
0,109
1,19
1,7
0,2
0,0
0,4
34,0
9,1
0,2
0,0
0,12
0,9
0,38
0,4
0,76
0,35
2,1
0,0
3,41
0,2
416,988
1,190
0,0
10,72
2,0
1,1
112,1
2,9
465,34
137,3
0,23
0,3
0,19
0,2
0,0
7,92
5,2
0,0
1,16
1,30
0,0
0,1
1,0
0,29
0,98
1,0
48,2
1,2
1,9
60,26
2,6
10,9
1,1
0,15
1,0
0,1
