V25,V30,V24,V37,V38,V9
1,2,0,0,126,0
0,0,0,0,4,0
0,0,0,0,3,0
0,0,0,1,7,0
0,0,2,2,4,1
0,0,0,1,1,0
0,1,0,1,0,0
0,1,0,0,35,2
0,0,1,0,0,0
0,2,0,0,3,2
1,1,0,1,2,0
0,0,2,0,2,1
2,3,1,1,6,4
0,4,3,2,4,4
1,0,0,0,3,0
1,1,0,0,0,0
1,1,2,1,1,0
0,0,0,1,0,1
0,0,0,0,0,0
1,1,0,3,16,6
4,1,0,0,65,1
0,1,1,4,42,4
0,0,1,0,3,1
0,0,0,0,0,0
0,0,0,0,9,0
1,0,1,1,23,1
0,0,0,0,0,0
0,0,0,0,0,0
0,3,3,0,187,1
0,0,1,1,5,1
0,0,2,0,13,1
0,0,0,0,13,1
0,0,0,1,0,0
0,0,2,1,130,0
0,0,0,0,3,0
0,0,1,0,18,0
0,1,1,0,2,0
1,0,0,0,60,1
0,0,0,0,6,0
0,1,0,0,7,0
0,1,1,2,3,0
0,1,0,0,2,0
0,0,0,1,0,0
1,0,0,0,892,0
0,0,1,1,0,0
0,0,0,1,125,0
1,1,0,1,1,0
0,2,1,0,0,1
3,0,0,0,16,0
10,5,9,6,2234,4
1,0,0,0,5,0
1,0,1,0,8,1
2,0,0,1,0,0
0,0,0,0,0,0
0,0,0,1,602,0
0,0,0,1,22,1
1,3,2,5,2,3
3,2,2,2,3,0
0,0,0,0,2,0
1,1,2,1,2,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,165,0
0,0,0,0,1,1
0,0,0,2,5,1
0,0,0,0,82,1
0,0,0,0,26,0
1,0,0,1,0,2
0,0,0,0,0,0
0,0,0,0,0,1
0,1,0,0,0,1
0,0,0,0,1,0
2,4,3,3,30,2
1,0,0,0,0,0
1,0,1,0,0,0
0,0,0,0,0,0
0,0,1,1,0,1
0,0,1,0,0,1
0,0,0,0,0,0
0,1,1,0,119,0
