V15,V2
0,0
0,3
0,1
0,1
0,3
1,1
1,0
1,0
0,0
0,313
0,1
0,3
0,0
1,0
0,242
0,10
0,77
1,3
0,167
1114,53
0,251
0,135
114,0
3,126
0,17
0,0
1,0
0,1
1,1
1,10
0,544
0,1
0,0
1,115
0,0
1,0
0,0
1,1
663,12
0,8
0,0
1,2
1,1
0,6
185,1
8,57
0,1
0,0
0,1
0,2
0,961
463,1281
1,0
0,0
0,8
1,0
0,1
5,103
65,0
0,1
0,1
0,0
0,27
0,7
0,4
0,0
0,0
0,120
0,43
0,0
0,2
0,1
0,0
0,24
1,13
0,8
1457,1378
0,1
2,116
0,0
0,1
0,4
0,2
0,0
162,1
1,4
580,0
3,1
1,0
0,3
0,2
0,30
0,342
1,1
0,0
1,2
0,0
0,0
1,1
0,0
0,2
0,9
0,3
11,0
1,0
0,1
0,4
2,0
0,5
0,0
127,144
0,3
0,0
0,7
1,31
0,13
0,0
1,18
0,0
0,1
