V67,V10
3,5
1,0
2,0
0,4
0,13
2,1
22,168
3,4
1,1
1,1
0,0
0,11
1,0
0,30
1,0
1,1
1,72
0,13
96,3
0,0
61,1
0,22
4,1
0,2
2,368
12,0
0,19
0,0
0,2
0,371
1,1
1,2
0,4
5,2
2,0
66,30
0,2
0,6
0,141
134,1
0,2
0,0
1,1
0,1
0,4
0,2
0,1
2,2
9,1
0,20
2,92
1,0
302,111
0,10
0,30
11,2
5,0
3,5
45,2
1,0
1002,2
0,144
0,8
2,0
46,0
0,0
2,2
1,1
0,0
0,0
0,0
0,9
2,20
0,0
2,1
0,0
2,67
0,2
0,0
0,6
27,21
18,42
3,0
1,3
342,34
3,2
497,6
0,0
2,0
0,0
0,1
6,0
8,1
114,895
1498,1578
0,0
2,0
7,29
3,1
4,236
3,19
7,56
1,0
0,1
4,0
1,769
3,0
0,2
0,1
0,0
6,2
11,0
0,8
2,0
0,1
0,0
20,12
143,0
0,1
1,3
