V64,V10
1,2
2,0
3,0
3,193
1,703
0,0
1,64
1193,1248
9,1
8,67
0,3
9,26
0,10
14,1
0,2
24,5
1,2
251,1
159,1
461,0
4,4
0,54
0,2
11,1
1,1
0,0
0,0
1,3
20,0
2,0
0,0
3,0
0,3
39,96
0,1
2,12
108,0
15,0
7,8
0,0
0,2
1,1
0,0
0,0
307,0
21,1
10,0
149,0
1,24
6,4
0,2
0,1
5,1
2,0
1,6
1,62
0,1
10,2
1,0
6,0
439,11
2,14
0,0
1,83
9,2
0,0
12,19
2,2
0,0
3,1
0,1
0,26
18,1
1,0
0,146
57,2
69,0
3,0
0,0
0,72
58,4
3,1
0,0
16,0
0,736
33,0
0,4
0,4
3,0
1,0
0,40
236,0
802,32
190,6
0,6
157,190
59,1
1,7
19,2
18,2
1,23
1,0
2,6
1,2
4,16
2,37
9,0
0,0
7,1
0,4
6,0
4,35
0,6
0,0
1,0
1,5
147,0
137,55
0,0
113,0
