V4,V40
0,1
1,12
15,0
0,0
1,0
1,1
0,2
1,16
905,954
0,16
31,70
2,1
1,0
3,0
1,5
1,0
175,0
3,6
22,1
1,63
0,363
0,2
1,252
0,12
10,0
20,30
0,29
1,0
21,0
0,19
27,3
0,0
2,0
3,36
0,0
373,12
1,2
0,0
2,0
20,0
0,0
1,6
1,0
1,2
34,0
2,0
0,8
0,0
10,8
0,0
21,22
4,0
10,0
1,2
1,1
809,1
1,1
1,40
22,1
0,108
0,1
0,2
0,0
9,0
14,2
0,0
3,25
22,0
2,1
0,0
0,0
1,64
8,2
0,0
0,0
1,0
2,0
1,0
33,0
190,197
2,9
11,5
1,4
1,39
0,1
38,1
13,0
19,0
1,1
0,1
2,33
8,1
1,60
372,0
1,3
15,1
4,11
2,3
2,3
0,2
35,4
0,76
0,0
2,1
4,10
20,3
0,0
0,6
16,2
652,0
2,0
9,280
1,0
0,82
60,1
13,0
0,1
0,1
0,1
0,1
