V50,V40
0,0
8,0
0,0
2,1
0,1
78,0
0,0
0,0
1,15
1,8
0,0
0,4
1,1
0,1
1,3
42,11
1,86
0,1
2,0
2,0
0,0
0,123
35,0
3,7
0,0
0,1
15,4
28,0
980,0
0,0
0,0
0,0
2,2
0,16
0,0
3,0
0,0
1,11
61,1
0,0
0,1
0,4
1,2
66,31
0,1
1,0
8,1
2,0
5,0
2,25
0,0
0,0
0,0
0,1
2,0
0,0
1,0
2,5
1,106
0,1
6,1
1,60
1,0
2,0
1,1
120,0
0,0
0,0
0,1
226,1
3,0
5,0
421,0
0,0
0,1
0,0
99,4
1,0
0,1
0,0
1,38
30,6
11,0
0,155
0,0
2,1
0,1
0,2
1247,0
0,6
1,0
154,12
0,0
6,1
1,8
20,0
0,0
3,1
2,434
0,0
0,6
0,0
1,0
0,0
1,1
19,6
0,0
7,32
49,9
0,6
1,2
18,0
7,34
71,1
1342,1328
0,0
0,0
1,0
0,7
0,0
