V14,V44
0,1
0,8
0,0
0,7
6,7
6,4
0,1
1,0
0,0
0,0
227,0
41,98
0,1
0,158
1,0
0,0
0,1
0,413
1,2
1,901
0,0
0,0
1,0
1,0
0,14
0,1
1,0
0,0
5,0
550,0
3,1
0,0
0,0
0,0
0,0
42,0
0,1
8,237
3,68
0,1
0,0
0,0
0,1
0,0
0,0
4,23
1,2
0,0
0,0
1,0
6,1
0,1
3,1
10,140
133,0
1,1
3,44
0,0
0,2
1,1
1,434
0,0
0,1
0,1
0,0
2,0
0,0
0,0
0,3
0,0
6,11
3,4
0,0
1521,1529
0,0
1,0
0,2
2,20
0,0
1,1
0,0
3,0
0,320
1,17
0,0
0,0
1,0
0,14
0,0
0,0
2,0
3,2
0,0
0,0
0,0
1,1
1,0
5,0
0,26
0,1
1,0
0,1195
0,2
99,0
2,0
2,0
3,0
0,0
5,4
0,0
3,0
1,1
0,0
60,2
1,0
0,0
0,0
0,0
0,0
1,1
