V9,V37,V13,V23,V20,V24,V30
1,0,1,0,1,1,1
2,3,1,3,1,2,5
0,0,0,0,0,0,0
0,1,1,1,0,1,0
0,0,0,306,0,1,0
0,0,2,154,0,0,0
1,0,0,165,0,1,0
1,0,0,2,0,0,0
0,0,0,2,0,0,0
0,0,1,0,0,0,0
0,0,0,0,0,0,1
1,0,0,9,0,1,3
0,1,0,1,0,0,0
2,0,1,2,1,0,0
0,0,0,0,0,0,0
1,1,0,0,0,0,3
1,0,0,56,1,1,2
0,2,0,1,0,1,0
0,0,1,1,0,0,0
0,0,0,6,0,0,0
0,0,0,0,0,0,0
1,1,0,2,1,1,2
0,0,0,89,0,0,0
2,1,0,105,0,0,1
0,0,0,0,0,1,0
1,0,0,14,0,0,0
0,0,0,0,0,0,0
1,1,1,123,3,1,0
1,1,1,3,0,0,1
0,1,2,2,0,0,0
1,0,1,279,0,0,0
0,0,0,0,0,1,0
0,0,1,380,1,0,2
2,0,1,0,3,0,0
0,0,0,0,0,1,1
1,0,1,196,0,0,0
5,4,3,177,4,5,5
0,0,0,0,0,2,0
0,0,0,1,0,2,0
0,0,0,2,0,0,0
1,0,2,295,0,1,0
0,1,0,22,1,0,0
0,1,0,1,0,0,0
0,0,0,1,0,0,0
1,0,0,5,0,0,0
1,2,3,5,2,0,1
0,1,0,0,1,0,1
0,0,1,5,0,1,0
0,0,0,2,0,0,0
1,0,0,36,0,0,1
0,0,0,1,0,0,1
1,0,0,76,0,0,0
1,0,0,0,1,1,0
0,0,2,0,0,0,1
2,0,0,1,0,0,0
0,0,0,131,1,0,1
0,0,0,18,0,1,0
1,0,0,10,2,1,1
0,0,0,0,0,0,0
0,1,0,1,2,0,1
0,0,0,19,0,1,1
0,0,0,7,1,1,0
0,0,0,0,0,0,0
0,1,1,0,0,0,0
0,0,1,1,0,0,1
0,1,0,3,0,1,0
0,0,0,5,0,0,0
0,1,0,1,2,0,0
6,5,5,1541,3,4,2
0,0,1,8,1,0,1
0,0,0,3,0,0,0
0,0,1,1,0,2,0
0,0,1,111,0,0,0
0,0,1,3,0,0,1
0,2,1,1,1,0,2
1,0,0,3,0,0,0
0,0,0,139,0,1,0
0,0,0,66,2,1,0
0,0,0,15,0,0,0
0,0,0,153,0,0,1
