V77,V5
0,0
0,1
280,814
0,1
2,0
0,2
3,71
2,0
0,2
144,1
2,3
9,0
23,0
1,1
1,0
0,0
53,2
2,2
758,782
1,0
64,1
1,222
22,2
19,1
2,15
26,0
7,2
1,1
15,329
0,1
0,1
0,0
6,0
54,2
6,0
166,0
1,43
0,3
4,1
9,17
1,206
19,4
0,13
97,0
4,0
0,0
15,0
3,1
3,0
0,0
1,1
80,1
29,64
7,1
2,0
2,2
1,0
5,0
13,1
1,25
0,0
0,1
1,1
528,4
2,0
0,1
0,1
15,8
3,1
14,25
4,0
0,0
1,7
0,0
2,0
383,0
0,1
5,1
2,0
0,49
0,2
37,7
0,0
1,0
1,21
2,5
0,0
2,157
14,0
0,4
0,16
11,201
3,1
65,4
0,12
1,0
0,4
1,626
16,20
0,0
1,67
10,21
3,152
25,165
4,1
0,1
3,1
0,29
1,0
1,4
0,1
169,4
5,141
0,1
16,2
4,0
8,0
0,51
2,0
0,0
