V9,V24,V25,V30,V37
0,0,0,0,0
0,0,0,0,0
1,1,0,0,0
0,1,1,0,1
0,1,0,0,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,0
0,0,1,1,3
0,0,1,0,0
0,1,2,0,2
1,0,0,0,1
2,5,1,2,1
0,2,1,1,0
20,20,22,21,21
0,0,0,0,0
1,0,1,2,0
2,1,3,0,0
0,0,1,0,0
1,2,2,2,2
0,0,1,0,0
0,0,0,0,2
0,0,2,1,0
1,1,1,4,0
0,0,0,0,1
7,3,3,7,2
0,0,0,1,0
1,0,0,1,0
0,0,1,1,0
0,0,0,0,0
0,0,0,1,1
0,0,0,0,4
0,0,0,0,0
0,1,0,0,0
0,0,0,0,0
1,1,0,0,0
2,2,1,1,1
0,1,1,0,1
0,1,0,3,0
1,0,1,1,0
0,0,0,0,1
0,0,0,0,1
1,2,0,1,0
0,0,2,1,0
0,2,0,1,0
0,1,2,0,0
0,0,0,0,0
1,0,0,0,0
2,0,1,2,2
0,0,1,0,1
0,0,0,0,0
0,0,0,0,0
0,1,0,0,1
0,0,1,0,0
0,0,1,0,0
0,1,0,0,1
0,0,1,0,0
0,3,0,0,0
3,2,2,3,2
3,1,6,5,8
0,0,0,0,0
0,1,0,3,1
0,1,0,2,1
1,0,1,0,0
0,0,0,1,0
0,0,0,0,0
1,0,0,1,2
1,0,0,0,0
1,0,1,1,1
0,1,0,0,0
2,1,1,2,1
8,1,1,1,2
0,1,1,0,0
0,0,0,1,1
0,0,1,1,0
1,0,0,0,0
1,0,0,0,0
0,0,1,0,0
2,1,2,0,1
