V25,V37,V24,V30,V9
2,0,0,1,0
0,0,0,0,0
4,2,4,3,0
0,0,0,0,0
0,0,1,0,1
2,0,0,0,1
0,2,0,1,0
1,1,0,0,0
0,3,3,2,3
1,1,0,0,0
0,3,4,9,4
4,5,0,3,4
1,2,1,0,2
1,0,0,0,1
0,0,0,0,0
0,1,0,0,1
1,0,0,0,1
1,1,1,2,1
0,0,3,0,0
0,0,0,0,0
0,0,0,2,0
1,0,1,1,0
0,1,0,0,0
0,1,0,0,1
0,0,0,0,0
2,6,3,4,2
0,1,0,1,0
0,0,1,0,2
1,1,0,0,1
2,0,0,2,0
0,0,1,0,1
0,0,1,0,0
0,0,0,0,0
0,0,0,2,0
2,1,0,0,0
1,0,1,0,1
0,1,0,1,3
4,3,2,2,2
2,0,3,2,0
0,1,0,0,1
29,23,23,32,27
1,0,1,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
1,2,3,0,0
0,0,0,0,0
0,0,1,0,0
1,1,0,1,1
0,1,0,0,1
2,0,3,2,3
1,2,1,4,2
0,0,0,1,0
1,3,2,0,1
0,0,0,0,0
0,0,0,0,0
0,2,0,1,1
1,0,0,0,1
0,0,1,1,1
1,0,0,0,0
0,0,0,0,0
0,1,0,0,1
5,7,8,8,12
0,1,0,0,1
1,1,1,0,0
0,1,0,0,0
1,2,4,4,0
0,0,0,0,0
1,0,2,1,2
0,1,0,1,0
0,0,0,0,2
1,0,1,1,0
1,0,0,0,2
1,0,1,0,0
0,0,0,1,0
0,0,0,0,0
0,1,0,0,0
1,0,0,0,0
0,1,0,0,0
1,0,0,0,0
