V80,V26
13,2
108,5
0,4
1,0
1,4
1,425
0,5
0,0
2,2
0,1
0,0
1,0
28,0
2,35
1,3
1,1
0,61
1,11
0,0
1,130
153,28
1,0
0,5
694,0
5,1
0,4
16,0
10,0
1,4
0,1
7,61
3,1
2,2
13,1
0,0
1,0
6,0
34,235
0,1
1295,1278
2,1
0,12
227,0
0,2
1,0
0,362
3,102
0,0
1,2
4,0
0,11
1,62
0,350
0,0
0,13
6,7
8,62
4,2
2,3
0,0
0,55
0,14
0,562
2,4
0,250
861,799
1,0
0,562
0,14
16,9
3,22
4,82
2,6
0,87
43,39
0,0
0,2
76,0
27,0
355,15
0,291
5,33
586,209
0,0
1,0
0,190
1,1
0,7
0,61
0,0
139,55
0,0
1,3
0,15
0,1104
2,44
0,4
1,1
59,26
1,0
0,26
0,294
60,50
3,0
0,2
2,70
0,2
4,201
4,1
8,18
3,3
0,6
1,9
2,18
0,1
6,64
2,1
346,2
12,0
56,1
