V2,V15
7,0
1,0
0,0
12,0
0,1
2,0
0,1
0,0
37,0
3,1
3,1
0,0
51,0
0,0
0,0
1,0
72,0
364,0
0,0
4,0
11,0
0,0
0,0
2,1004
1,0
0,0
48,0
10,0
0,0
11,0
0,0
0,7
1,0
0,0
2,0
2,0
4,0
0,1
0,331
1,0
7,2
0,0
0,645
0,0
0,1
1,0
0,0
19,0
1,0
2,0
0,16
5,0
0,0
5,0
0,0
10,0
7,0
1,0
2,0
0,0
11,0
1,0
18,0
1,0
0,0
3,1
1,0
1,0
1,0
0,0
2,0
2,0
0,0
9,0
69,0
1,0
2,0
1,0
0,0
1,0
1,0
3,0
0,1
1,0
10,0
2,1
39,0
1,1
543,1466
164,0
22,1
0,3
0,0
5,75
0,0
0,0
0,0
0,0
1,0
22,0
2,0
16,0
1,1
0,0
49,0
0,0
2,0
7,119
37,0
1,0
7,0
23,0
0,0
0,0
9,0
3,0
1,1
1,0
0,0
2,0
