"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
1,0,3354,0,0,430,0,1,1,1213
0,0,0,0,0,0,0,0,85,4915
0,3,0,4997,0,0,0,0,0,0
0,0,0,14,4985,0,0,0,0,1
0,0,0,0,0,0,0,0,0,5000
15,7,2226,13,2255,305,17,49,0,113
0,0,5000,0,0,0,0,0,0,0
100,2,0,0,0,4898,0,0,0,0
38,3,1,6,202,4432,27,32,3,256
0,0,0,0,4973,27,0,0,0,0
11,0,0,36,0,4941,0,1,1,10
0,0,0,0,0,5000,0,0,0,0
0,0,0,0,0,0,0,0,5000,0
0,0,1,6,0,4992,1,0,0,0
4,0,0,0,1,0,0,575,7,4413
0,0,0,5000,0,0,0,0,0,0
0,0,0,0,5000,0,0,0,0,0
0,0,0,3,1,0,0,0,0,4996
0,0,4998,0,0,0,0,0,2,0
0,0,0,0,0,5000,0,0,0,0
4887,0,0,0,0,0,0,0,0,113
0,0,5000,0,0,0,0,0,0,0
0,0,26,4,14,3629,1,0,1326,0
0,0,0,0,0,5000,0,0,0,0
0,0,0,0,0,0,5000,0,0,0
0,4999,0,0,0,0,0,0,1,0
0,0,0,3,0,0,1,4996,0,0
14,4883,0,97,0,1,2,3,0,0
4,4996,0,0,0,0,0,0,0,0
2,33,0,70,4246,75,2,0,0,572
