,metric,abundances
V15,1.1052631578947367,158
V11,1.1052631578947367,158
V9,1.1052631578947367,190
V50,1.1052631578947367,178
V25,1.1052631578947367,176
V23,1.1052631578947367,154
V8,1.1052631578947367,154
V10,1.1052631578947367,203
V47,1.1052631578947367,170
V36,1.1052631578947367,144
V39,1.1052631578947367,140
V7,1.1052631578947367,170
V34,1.1052631578947367,145
V37,1.1052631578947367,173
V35,1.1052631578947367,166
V4,1.1052631578947367,173
V24,1.1052631578947367,161
V1,1.1052631578947367,169
V29,1.1052631578947367,166
V27,1.1052631578947367,157
