V23,V11,V9,V29,V17,V27,V28
0,3,0,2,2,4,0
4,5,3,5,4,8,4
2,2,0,0,1,2,1
142,128,132,140,142,119,138
1,0,1,1,63,2,1
2,1,0,1,9,0,1
1,5,1,2,6,3,2
101,95,1,0,1,1,2
18,13,19,15,14,21,45
0,0,1,0,1,0,1
1,0,0,0,1,62,0
3,2,5,1,0,5,21
10,20,6,2,4,19,75
1,1,3,2,0,2,220
25,18,18,17,14,18,16
0,1,0,1,0,0,2
17,26,31,27,25,13,26
2,1,4,2,6,3,2
6,15,8,7,25,16,171
0,2,2,1,0,1,1
1,0,0,0,0,0,2
27,71,0,1,1,183,3
12,13,15,15,15,16,13
0,3,3,3,1,0,1
10,0,1,0,3,31,0
54,5,10,2,340,6,2529
1,1,0,2,3,1,3
0,0,0,1,2,0,0
9,7,18,14,11,12,13
0,0,0,0,0,0,1
5,3,1,6,3,1,6
1,0,1,0,0,2,1
0,5,1,2,1,0,1
0,1,1,0,22,0,1
0,8,1,0,1,1,0
5,4,4,4,3,7,2
0,1,0,0,1,0,0
0,1,0,0,0,0,0
0,0,0,0,3,0,0
0,2,0,0,3,9,47
3,0,4,3,2,5,4
10,6,5,2,4,5,12
0,0,0,0,0,1,0
2,6,0,0,4,10,8
2,6,1,0,1,29,1
0,2,0,4,0,0,3
28,17,36,30,23,21,27
1,0,1,1,0,0,1
9,3,5,9,3,6,16
1,2,0,1,0,0,0
