V54,V12
0,31
1,42
26,3
0,967
2,24
0,39
0,2
5,2
302,0
0,0
0,0
3,1
0,37
30,3
4,13
0,0
0,0
0,8
0,0
1,5
1,0
3,28
4,0
7,33
41,1
52,1
1,1
0,0
19,4
4,52
67,1
0,2
1,115
0,6
4,11
1,2
0,233
2,152
0,12
0,0
1,10
2,0
0,602
5,0
20,28
62,19
833,42
6,7
110,9
0,241
1,108
3,0
0,18
48,3
0,13
0,315
2,12
0,52
59,14
0,97
88,4
52,2
0,1
0,0
1,26
1,0
0,5
61,8
2,0
0,3
1,263
1959,1960
1252,2
0,266
0,0
0,0
2,82
2,77
1,12
2,1
0,82
0,598
2,3
0,4
0,194
39,1
0,232
0,15
0,4
6,0
2,0
2,0
0,89
0,0
1,5
4,0
0,156
1,1
4,1
0,3
7,27
1,0
1,1
1,0
7,0
1,1
4,29
0,2
4,8
6,1
3,110
1,1
2,2
454,0
0,4
0,1
0,2
144,4
1,0
5,1
