V25,V26,V9
1,0,2
0,23,1
0,3,0
1,148,1
1,0,0
0,1,1
0,2,0
1,3,0
0,1,0
1,35,0
0,3,0
0,0,0
0,0,2
0,24,1
0,2,1
0,2,0
0,11,2
1,17,0
0,13,0
1,10,2
0,294,1
1,41,0
0,14,0
0,46,0
0,0,0
1,0,0
1,2417,1
1,1,2
1,17,0
0,1,0
2,6,4
7,3359,5
0,0,1
1,15,0
0,2,0
0,1,0
0,1,1
0,5,0
0,0,0
0,7,1
1,12,2
1,0,0
0,44,0
1,205,0
0,17,0
0,5,0
0,2,0
0,0,1
0,35,0
0,1,0
0,2,0
2,177,0
1,25,1
0,0,0
0,34,0
3,3,0
0,5,0
1,6,0
0,17,0
1,7,1
0,37,0
0,0,0
2,0,0
0,3,0
2,3,1
2,0,0
0,0,0
0,0,0
2,0,0
1,1,0
1,4,0
2,81,0
1,0,0
0,71,1
0,4,0
3,0,1
0,4,0
0,2,0
1,3,0
2,37,2
