V13,V9,V30,V37,V24,V25
1,0,2,3,2,0
1,0,0,0,1,0
0,0,0,0,2,0
0,0,1,0,0,0
0,0,2,1,0,0
0,0,0,0,0,1
0,0,0,0,0,0
1,1,0,1,0,1
0,0,0,0,1,0
0,2,4,0,1,3
0,0,0,0,1,0
1,2,1,2,2,1
1,0,2,1,3,0
0,0,0,0,0,0
0,0,0,0,1,0
1,1,0,0,0,4
0,0,1,0,0,1
1,1,0,2,2,0
1,0,0,0,0,0
1,1,0,3,2,0
0,2,0,0,0,0
0,0,0,0,2,0
4,0,4,2,1,1
0,3,1,0,1,1
0,0,1,0,1,1
1,0,1,0,0,0
0,0,0,2,1,0
0,0,0,0,0,0
0,0,0,0,0,1
4,1,3,3,3,2
1,0,0,0,0,0
1,1,0,2,0,0
1,2,0,0,1,0
0,0,0,0,0,1
1,0,2,0,0,0
1,0,0,0,0,0
0,1,0,1,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,1,0,0,0
3,0,0,0,0,0
0,0,0,0,0,1
5,5,8,8,3,5
1,0,0,0,0,0
0,0,0,1,0,0
3,1,3,0,1,3
0,0,0,0,1,1
0,1,0,0,0,1
1,0,1,1,0,0
1,0,1,0,0,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,0
1,2,3,3,4,2
0,0,0,0,0,1
0,0,0,2,0,2
1,3,1,2,1,4
0,2,0,2,1,2
1,1,1,1,1,1
1,0,0,1,1,1
7,7,4,8,7,7
1,0,0,0,0,2
0,0,0,0,0,1
1,5,5,5,4,4
1,1,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,0
0,0,1,1,0,0
1,0,1,0,1,0
0,0,0,0,1,1
0,1,0,1,1,0
0,1,0,0,0,0
0,0,0,0,2,0
0,1,1,1,0,0
1,3,2,3,3,0
0,0,1,1,0,0
0,1,0,0,0,0
0,1,1,0,0,0
