V9,V94
17,7
2,0
16,3
0,2
1,0
0,0
2,5
1,12
0,0
0,5
0,5
0,0
76,468
0,0
1,3
0,2
0,57
1,0
18,1
0,1
6,75
1,3
65,4
0,0
1,18
98,30
1,0
0,0
49,0
5,22
3,0
489,1
1,167
2,0
2,2
2,3
0,0
0,0
1,0
0,1
0,68
0,1
133,8
6,108
0,4
0,11
0,1
1,0
8,0
0,1
18,20
0,0
157,1
2,0
0,0
19,3
3,0
1,2
1,15
2,6
2,1
0,0
1,4
18,0
13,78
7,0
0,53
0,1
4,0
0,49
1,0
1,719
895,903
0,1
1,0
1,0
1,1
18,46
64,3
1,0
0,1
0,0
0,0
21,0
2,1
0,10
34,1
0,1
51,2
0,0
0,0
2,19
1,8
0,0
4,1
0,5
0,2
2,0
3,11
0,2
0,0
0,3
1,0
0,0
1,0
1,19
4,32
7,0
0,0
119,356
4,106
1076,1003
0,84
0,1
21,0
0,0
1,1
0,24
0,0
0,34
