V5,V43
371,0
1,765
0,0
1,42
0,0
3,15
1,0
0,12
84,1
24,0
1,1
0,0
0,6
2,5
15,0
1,2
1,0
34,1
34,0
63,22
3,2
0,2
1,2
36,1
8,752
0,4
0,296
1,1
41,0
0,8
3,1
412,0
2,0
0,0
0,2
0,0
0,0
0,14
1,1
4,6
1,1
0,0
67,0
968,4
3,4
2,0
2,2
0,0
0,4
3,24
0,0
2,3
0,0
2,1
0,0
104,1
1,3
0,1
0,1
0,3
0,0
1,0
1526,1520
10,7
0,1
0,1
1,26
4,178
3,0
15,5
1,0
3,14
4,3
0,18
1,53
60,5
0,0
1,2
1,2
0,2
3,5
337,0
0,459
84,3
1,3
0,0
18,0
0,3
0,1
1,1
2,45
317,52
1,3
7,0
1,9
9,7
1,79
250,9
2,0
0,40
0,1
6,1
2,5
0,46
139,6
280,2
0,0
1,0
9,1
18,8
0,0
1,0
23,6
356,0
1,0
0,40
0,0
0,347
1,1
0,2
