V50,V33,V37
6,26,0
98,3,1
15,54,0
1,0,1
0,46,1
5,4,0
17,3,0
2,0,0
2,3,0
2,76,0
3,0,0
0,1,1
1,0,0
2,4,0
1,1,1
7,0,0
12,8,0
0,1,0
9,27,0
39,0,0
10,19,1
1,6,0
1,9,1
6,1,2
0,2,1
1,0,2
0,1,0
0,2,0
7,178,1
0,95,0
2,4,0
3,10,0
3,67,0
0,0,0
2,0,0
0,3,0
81,0,0
6,1,0
314,3,0
7,0,0
4,6,2
7,15,0
2,11,1
1,3,0
1705,1661,4
2,3,1
80,38,0
3,1,1
1,2,1
19,1,0
13,26,0
4,170,0
15,0,0
3,31,0
60,3,0
1,16,0
10,0,1
99,0,1
4,1,0
3,16,0
928,1,1
14,1,0
0,9,0
167,7,1
137,192,0
11,0,0
16,0,0
0,8,0
44,0,1
14,0,0
4,0,0
7,20,0
31,3,0
1,7,1
3,0,1
2,48,0
31,2,1
38,0,1
1,0,0
13,40,0
