,V8,V50,V35,V18,V23,V1,V27,V38,V22,V16,V39
V8,0.0,0.346342912964025,0.2213449255746377,0.4479475525261165,0.01872196247197322,0.385699955184172,0.0,0.0,0.0,0.0,0.0
V50,0.346342912964025,0.0,0.2702148775389195,0.48813787163863986,0.28526825611689344,0.4288008703759367,0.0,0.0,0.0,0.0,0.0
V35,0.2213449255746377,0.2702148775389195,0.0,0.3809103995258848,0.12617213488006063,0.3133321511516365,0.44078110829100237,0.0,0.0,0.0,0.0
V18,0.4479475525261165,0.48813787163863986,0.3809103995258848,0.0,0.39555356518217977,0.0,0.0,0.0,0.0,0.0,0.0
V23,0.01872196247197322,0.28526825611689344,0.12617213488006063,0.39555356518217977,0.0,0.3280585808251709,0.45552222632331074,0.0,0.0,0.0,0.0
V1,0.385699955184172,0.4288008703759367,0.3133321511516365,0.0,0.3280585808251709,0.0,0.0,0.0,0.0,0.0,0.0
V27,0.0,0.0,0.44078110829100237,0.0,0.45552222632331074,0.0,0.0,0.0,0.0,0.0,0.0
V38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3694496276140462,0.4066943535249866,0.3694496276140462
V22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3694496276140462,0.0,0.023979092529341606,0.0
V16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4066943535249866,0.023979092529341606,0.0,0.0
V39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3694496276140462,0.0,0.0,0.0
