V30,V34
0,0
0,1
0,0
0,58
0,0
1,0
1,9
0,12
0,0
0,0
1,0
1,0
0,0
0,0
1,107
0,0
0,0
0,0
0,0
0,1
0,0
43,2038
0,0
1,0
0,0
0,7
0,153
0,2
0,46
1,215
0,0
0,0
0,0
0,252
0,0
0,1
0,1033
0,0
0,0
0,0
1,1
0,0
1,856
0,0
0,3
0,0
0,339
0,0
0,0
0,0
0,1368
0,0
0,0
0,0
1,5
0,847
0,0
1,0
0,0
1,0
2,0
0,22
0,0
0,0
0,2
0,0
0,1
0,0
0,430
0,1
0,1
1,0
0,0
0,1
0,34
0,2
0,1
0,4
0,1
0,1
0,299
0,351
0,0
0,0
3,603
0,0
1,79
0,1
0,0
0,0
1,0
0,1
0,1
1,0
0,797
0,0
1,0
0,0
0,10
1,1
2,0
1,0
1,0
0,0
0,0
0,0
0,1
0,192
0,48
0,0
0,14
0,7
0,312
2,0
0,0
1,1
0,0
0,0
1,0
0,0
