V9,V37,V13,V23,V24,V30,V20
1,0,1,0,1,1,1
2,3,1,3,2,5,1
0,0,0,0,0,0,0
0,1,1,1,1,0,0
0,0,0,306,1,0,0
0,0,2,154,0,0,0
1,0,0,165,1,0,0
1,0,0,2,0,0,0
0,0,0,2,0,0,0
0,0,1,0,0,0,0
0,0,0,0,0,1,0
1,0,0,9,1,3,0
0,1,0,1,0,0,0
2,0,1,2,0,0,1
0,0,0,0,0,0,0
1,1,0,0,0,3,0
1,0,0,56,1,2,1
0,2,0,1,1,0,0
0,0,1,1,0,0,0
0,0,0,6,0,0,0
0,0,0,0,0,0,0
1,1,0,2,1,2,1
0,0,0,89,0,0,0
2,1,0,105,0,1,0
0,0,0,0,1,0,0
1,0,0,14,0,0,0
0,0,0,0,0,0,0
1,1,1,123,1,0,3
1,1,1,3,0,1,0
0,1,2,2,0,0,0
1,0,1,279,0,0,0
0,0,0,0,1,0,0
0,0,1,380,0,2,1
2,0,1,0,0,0,3
0,0,0,0,1,1,0
1,0,1,196,0,0,0
5,4,3,177,5,5,4
0,0,0,0,2,0,0
0,0,0,1,2,0,0
0,0,0,2,0,0,0
1,0,2,295,1,0,0
0,1,0,22,0,0,1
0,1,0,1,0,0,0
0,0,0,1,0,0,0
1,0,0,5,0,0,0
1,2,3,5,0,1,2
0,1,0,0,0,1,1
0,0,1,5,1,0,0
0,0,0,2,0,0,0
1,0,0,36,0,1,0
0,0,0,1,0,1,0
1,0,0,76,0,0,0
1,0,0,0,1,0,1
0,0,2,0,0,1,0
2,0,0,1,0,0,0
0,0,0,131,0,1,1
0,0,0,18,1,0,0
1,0,0,10,1,1,2
0,0,0,0,0,0,0
0,1,0,1,0,1,2
0,0,0,19,1,1,0
0,0,0,7,1,0,1
0,0,0,0,0,0,0
0,1,1,0,0,0,0
0,0,1,1,0,1,0
0,1,0,3,1,0,0
0,0,0,5,0,0,0
0,1,0,1,0,0,2
6,5,5,1541,4,2,3
0,0,1,8,0,1,1
0,0,0,3,0,0,0
0,0,1,1,2,0,0
0,0,1,111,0,0,0
0,0,1,3,0,1,0
0,2,1,1,0,2,1
1,0,0,3,0,0,0
0,0,0,139,1,0,0
0,0,0,66,1,0,2
0,0,0,15,0,0,0
0,0,0,153,0,1,0
