,megahit_2893366,megahit_590713,megahit_2655517,megahit_3546505,megahit_2881681,megahit_3250936,megahit_1451119,megahit_1100686,megahit_1565308,megahit_774373,megahit_827488
megahit_2893366,0.0,0.0,0.05714285714285716,0.18832055008657222,0.0,0.0,0.0878406761784255,0.11428571428571432,0.05714285714285716,0.05714285714285716,0.0
megahit_590713,0.0,0.0,0.05714285714285716,0.18832055008657222,0.0,0.0,0.0878406761784255,0.11428571428571432,0.05714285714285716,0.05714285714285716,0.0
megahit_2655517,0.05714285714285716,0.05714285714285716,0.0,0.0,0.0,0.0,0.0,0.05714285714285716,0.17142857142857137,0.17142857142857137,0.0
megahit_3546505,0.18832055008657222,0.18832055008657222,0.0,0.0,0.0,0.0,0.0,0.0,0.18832055008657222,0.18832055008657222,0.0
megahit_2881681,0.0,0.0,0.0,0.0,0.0,0.10674039973113869,0.0,0.0,0.0,0.0,0.16834451009450846
megahit_3250936,0.0,0.0,0.0,0.0,0.10674039973113869,0.0,0.0,0.0,0.0,0.0,0.12903225806451613
megahit_1451119,0.0878406761784255,0.0878406761784255,0.0,0.0,0.0,0.0,0.0,0.0,0.0878406761784255,0.0878406761784255,0.0
megahit_1100686,0.11428571428571432,0.11428571428571432,0.05714285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
megahit_1565308,0.05714285714285716,0.05714285714285716,0.17142857142857137,0.18832055008657222,0.0,0.0,0.0878406761784255,0.0,0.0,0.0,0.0
megahit_774373,0.05714285714285716,0.05714285714285716,0.17142857142857137,0.18832055008657222,0.0,0.0,0.0878406761784255,0.0,0.0,0.0,0.0
megahit_827488,0.0,0.0,0.0,0.0,0.16834451009450846,0.12903225806451613,0.0,0.0,0.0,0.0,0.0
