"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0,1,1,88,1,7,0,6,1,4895
0,4,0,0,0,0,0,4996,0,0
0,0,0,0,0,0,0,5000,0,0
1,2277,5,30,7,19,0,309,39,2313
4256,0,2,0,8,582,0,77,74,1
33,309,282,762,37,1984,16,791,13,773
0,0,0,0,0,0,0,0,0,5000
0,0,4913,87,0,0,0,0,0,0
9,3,11,17,14,2,5,34,4905,0
13,30,2,4899,9,3,2,4,4,34
0,1,0,0,5,0,4994,0,0,0
0,1348,0,0,0,0,0,3652,0,0
0,0,0,0,0,0,5000,0,0,0
9,7,65,55,60,3409,1253,63,18,61
2,0,0,0,0,87,4911,0,0,0
16,0,2452,2474,0,2,3,2,1,50
0,0,0,0,0,5000,0,0,0,0
334,19,903,47,2564,36,32,26,916,123
0,0,0,0,0,0,0,0,5000,0
0,0,37,1,80,38,0,15,5,4824
63,1262,142,1336,459,164,448,166,481,479
198,75,0,1,2,4119,36,1,24,544
15,19,2827,5,1054,0,50,1025,4,1
0,0,0,3,33,3,0,4729,232,0
4999,0,1,0,0,0,0,0,0,0
158,23,17,169,13,2990,19,137,423,1051
0,0,0,0,0,5000,0,0,0,0
0,0,2513,0,4,0,2480,3,0,0
0,0,0,5000,0,0,0,0,0,0
0,0,263,0,0,0,0,0,4733,4
