"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
395,152,19,1051,379,25,13,6,2919,41
201,5,0,41,15,5,0,2,4649,82
0,0,9,0,4991,0,0,0,0,0
16,306,120,2173,2095,93,31,15,113,38
0,4905,0,95,0,0,0,0,0,0
1,94,8,0,1,10,32,4288,4,562
0,0,0,0,0,0,0,0,0,5000
10,3059,136,19,46,63,19,432,1166,50
0,0,0,0,0,0,0,0,0,5000
55,1018,347,55,145,2863,349,131,17,20
4971,0,0,3,0,23,3,0,0,0
2320,113,825,107,312,96,785,117,300,25
0,241,0,4741,0,6,0,0,0,12
0,15,91,4803,0,0,89,0,0,2
10,186,1299,3,10,5,11,11,31,3434
0,0,0,0,3660,0,0,0,1340,0
0,1,0,0,0,0,0,0,4999,0
1,0,0,4999,0,0,0,0,0,0
5000,0,0,0,0,0,0,0,0,0
157,454,9,7,2,3200,1107,57,7,0
1,0,0,0,0,4999,0,0,0,0
3,4925,17,2,2,12,4,17,17,1
0,0,0,0,0,85,0,4915,0,0
0,0,0,1,245,4754,0,0,0,0
573,32,640,72,74,1654,224,1623,76,32
0,0,0,4760,0,240,0,0,0,0
0,0,4097,1,1,87,219,563,1,31
2,4969,0,2,6,1,1,2,15,2
2653,149,54,134,65,139,125,946,383,352
3658,0,0,0,1339,1,0,1,1,0
