,V32,V35,V24,V37,V9,V30,V25,V23,V6,V4,V8
V32,0.0,0.4633013490916832,0.27870753559642414,0.27115132661559793,0.28832135196071107,0.2839840839736699,0.3096912376616233,0.0,0.0,0.0,0.4938733782567071
V35,0.4633013490916832,0.0,0.3127245397424385,0.34557283830403873,0.36809913085067125,0.38928907342652164,0.3602756273123462,0.42053813665729367,0.0,0.0,0.0
V24,0.27870753559642414,0.3127245397424385,0.0,0.0565625680172549,0.08230748455550785,0.10768525520364358,0.04851017411142855,0.0,0.0,0.0,0.0
V37,0.27115132661559793,0.34557283830403873,0.0565625680172549,0.0,0.060245174147437686,0.05642670598055277,0.08607268264369705,0.0,0.0,0.0,0.0
V9,0.28832135196071107,0.36809913085067125,0.08230748455550785,0.060245174147437686,0.0,0.07279400816055559,0.08990684053683129,0.0,0.0,0.0,0.0
V30,0.2839840839736699,0.38928907342652164,0.10768525520364358,0.05642670598055277,0.07279400816055559,0.0,0.1031781606560832,0.0,0.0,0.0,0.0
V25,0.3096912376616233,0.3602756273123462,0.04851017411142855,0.08607268264369705,0.08990684053683129,0.1031781606560832,0.0,0.0,0.0,0.0,0.0
V23,0.0,0.42053813665729367,0.0,0.0,0.0,0.0,0.0,0.0,0.4510061108162392,0.4183345752217942,0.0
V6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4510061108162392,0.0,0.0,0.0
V4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4183345752217942,0.0,0.0,0.0
V8,0.4938733782567071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
