"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50"
1.147074751253,0,-0.0414058252096279,-0.0111056430311025,0,0,0.0243526496029164,0.128722810205259,0,-0.203923989571082,0.0664938058535173,0,0.0727143628821947,0,-0.140522571950839,0,0,-0.0277785559797805,0,0,0,0,0,0,-0.0477332878692373,0,0,-0.0418364885615811,-0.149034073957599,0,0,0,0,0,0,0.057142860612627,-0.0339622422223884,-0.0114174946444143,-0.0213283026834127,0,0,0,-0.0288707431958711,-0.063649891347086,-0.0157578310794667,-0.0636377874721011,0,0,-0.0140589036060851,0
0,1.10198333482643,0,0,0,0,0,-0.0799316432049351,0,-0.0635784538082006,0,-0.124357091383381,0,-0.112044708126533,0,0,-0.0256110514315302,-0.00486122518131178,0,0,-0.036740955504924,0,-0.0567154912232756,-0.046329670713225,0,0,0,0,0,0,0,-0.0481974086948505,0,0.0698913085291399,0,0.00054232486766923,-0.10057697505654,0,-0.0590823272546815,0,0.0310215552054828,0.0524117307156549,-0.0210826918323598,0,-0.0979611339074026,0,0,-0.0693198752638273,0,0
-0.0414058252096279,0,1.11088278553036,-0.0246913032146497,0,0,0.0118508913678282,-0.105664174671252,0,0,0,0,-0.0619375673841207,0,0,-0.00887748401415617,0,0,0.154826388556905,0,0,0.031522046212713,0,0,-0.0357750379275112,0,0,0.0665165595056449,0,0,-0.0657323783398744,0,-0.0291140852698063,-0.0892831370527995,-0.00806185611676471,0.167166085939415,-0.0189776384820596,0,0,0,0,0.0406355907883189,0,0,0,0,-0.0923418798469066,0.0233765397262317,-0.143749928902134,0
-0.0111056430311025,0,-0.0246913032146497,1.10751288635298,0,-0.0436609967711798,-0.160705246575981,-0.0123346742420768,0,0,0,0,0,-0.0642677883573698,0,0,0,0.0499803638010826,0,0,0,0,0,0.0631370487842917,0,-0.00250024538083429,0,0,-0.108575206162095,-0.141002907597205,-0.0337815036146163,0,0,-0.0146346705717303,0.00127946122023256,0.00936081051705631,0.0706242601515985,-0.0237082919063255,0,0,-0.0598599982328265,0,0.156400915673534,0,0,0,-0.0640356375174512,0,0,0
0,0,0,0,1.22983063340334,0,-0.0371494700467419,0,-0.0241203320911063,0,0,0.187196754651078,-0.15549042240058,0,0,0,0,0.133790838776999,-0.261122337747114,0,0,0,0,0,0,0,0,0,0.040503701321651,0,-0.236852232537272,0,-0.0298097707023426,0,-0.0178300811308849,0,0,0.0416038160089427,0.165395354652471,0,0,0,0,0.0285967026777556,0,-0.0118460233953081,0,0.000117361676463039,0,0
0,0,0,-0.0436609967711798,0,1.18299712184157,0,0,-0.0660334929153298,-0.0460555513394199,-0.0637670512593981,-0.000168405801115523,-0.104422254674475,-0.109304002131676,0,-0.0323742154623483,0,-0.0496978320178489,-0.018030666293957,0,-0.0323775656320905,-0.146722910084529,0,-0.0290749863620224,0,0.035970545610077,0,-0.000858999719072267,0,-0.08322849168246,0.249059222247811,0,0,0,0,0,0,0,0,0.0808341700017311,-0.140079279429125,0,0,0,0,0,0,0,0,0
0.0243526496029164,0,0.0118508913678282,-0.160705246575981,-0.0371494700467419,0,1.17914053770726,-0.0383056806273444,0,0.0539893306167885,-0.00950348459661754,0,0,0,0,-0.062810604343675,0.0479122875510355,0,-0.0600481862842083,-0.0887526515529322,0,0,0,0,-0.313799737574494,0,0.0234344357568349,0,-0.125485420457874,-0.0383813499188093,0,0,0,-0.0243306192511108,0,0,-0.00995006011040143,0,-0.0241962252210415,0,0.0824036333631343,0,0,-0.0389825087988898,-0.0601859400489513,-0.00108994689839832,0,0,0,0
0.128722810205259,-0.0799316432049351,-0.105664174671252,-0.0123346742420768,0,0,-0.0383056806273444,1.10274733116587,0,0,0,0,0,0,0.0920717784312636,-0.0693149747672231,0,0,0.0104852632285747,-0.0159693166645711,0,0,-0.0437824078142656,0,0,0,-0.0571949715880945,0,0.0695773884161226,0,-0.0356361002902637,0,0,0,0,0,-0.064512147132565,0,0,-0.0293194878820392,0,-0.18225739398774,0,0,0,-0.00667300165915287,0.0329561156190094,0,0,0
0,0,0,0,-0.0241203320911063,-0.0660334929153298,0,0,1.37233748300907,0,0,0,-0.134099764322638,-0.17985489004901,0,-0.0690797566589001,0,0,-0.192629154989914,-0.0819484119283267,0,0,0,-0.364529371113905,-0.157856220308545,0,-0.00928202210625446,0,0.0141585933620985,0,-0.0819824789134023,-0.0454439350040302,-0.0670747402355878,0,-0.0721633807715855,0,0,-0.0330886244769881,0.0233549298123809,0,0,0,0.131423895526042,0,0,0.13798723779573,0,0,0,0
-0.203923989571082,-0.0635784538082006,0,0,0,-0.0460555513394199,0.0539893306167885,0,0,1.40302592402731,-0.241433194535637,0,-0.0855017521311603,0,0,0,0,-0.449943754544788,0,0,0,-0.150761403424442,0,0,0,0.14705574601154,0.0100879587089161,0,-0.00529369218058393,0,0,0,0,0,-0.183493699093157,0,0,0,0,0,-0.036949101724929,0.0356439088114956,0,-0.102217027347091,-0.0110160663331732,0,0,-0.0458855658633857,-0.137577605804339,0
