"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
29,207,4094,530,8,29,1,16,79,7
11,1621,1,1669,5,4,15,1674,0,0
7,7,4421,2,3,4,14,6,533,3
26,269,105,758,280,749,77,750,1956,30
1,2,0,4935,8,28,3,9,1,13
1,1,0,0,2,470,54,2,3300,1170
215,5,81,15,6,11,565,12,63,4027
128,110,119,918,366,873,896,326,942,322
6,388,16,23,386,2935,133,24,1080,9
336,126,1020,138,130,150,124,146,2681,149
29,582,208,82,82,31,93,1658,580,1655
3,1,7,2,2,8,1,2,4971,3
8,3236,5,6,155,433,2,6,1143,6
4,4,4612,241,6,1,27,4,28,73
16,1022,2797,15,151,60,48,146,386,359
2753,368,374,44,994,17,38,352,15,45
14,14,4870,13,10,16,17,10,24,12
1,11,55,3463,1,3,76,71,9,1310
189,76,229,34,4171,32,84,64,93,28
240,233,240,683,684,243,253,241,1926,257
275,38,725,2079,754,271,30,739,49,40
7,9,4,447,17,69,4,3071,1206,166
80,2,24,22,74,1,3,4577,216,1
73,195,67,63,24,509,172,64,83,3750
229,3,3,9,1,5,4708,6,32,4
0,1,7,2,0,6,0,2475,2506,3
14,3,4891,8,2,29,4,2,42,5
8,16,30,40,8,34,17,8,4751,88
88,7,86,1,2,7,90,4703,14,2
1912,35,2062,44,41,44,47,36,740,39
